id,employeeName,employeeRole,date,taskName,saleId,revenueGeneratedPKR,notes
"log_6ojrtdbgj","Hamza","Day Operator","2026-08-06T14:00:05.153Z","Application Writing / Urdu Typing","sale_5z97vuf91","150",""
"log_loveu4v15","Saqib","Day Operator","2026-08-06T04:43:50.152Z","Biometrics Verification","sale_84lo7x2jp","300",""
"log_7e2kpgkm4","Saqib","Day Operator","2026-08-06T03:05:53.152Z","CV Normal Creation","sale_6ylr3i4r0","150",""
"log_i0bt0unbw","Saqib","Day Operator","2026-08-06T03:05:53.152Z","Online Form Filling (NADRA / Driving License)","sale_6ylr3i4r0","250",""
"log_6uwnmpg97","Saqib","Day Operator","2026-08-06T03:05:53.152Z","Online Form Filling (NADRA / Driving License)","sale_6ylr3i4r0","250","Completed successfully"
"log_3uiszb6b5","Abdi","IT Manager","2026-08-05T15:49:46.151Z","Biometrics Verification","sale_rotgf6bue","300",""
"log_ti219fmus","Ashar","Night Operator","2026-08-05T12:22:21.153Z","CV Professional Creation","sale_t8nh9wqdi","500",""
"log_b30uo4xrf","Azan","Night Typist","2026-08-05T08:59:03.152Z","Biometrics Verification","sale_3e4ymr2yk","300",""
"log_u45a4bfig","Omar","Night Manager / Biometrics Specialist","2026-08-05T05:51:14.153Z","Biometrics Verification","sale_wkrzw1xx2","300",""
"log_5tl3ha04o","Omar","Night Manager / Biometrics Specialist","2026-08-05T05:51:14.153Z","Online Form Filling (NADRA / Driving License)","sale_wkrzw1xx2","250",""
"log_n9r1qfhup","Ashar","Night Operator","2026-08-05T03:34:32.152Z","CV Professional Creation","sale_g5gywb07v","500","Completed successfully"
"log_z8m6zaxnc","Azan","Night Typist","2026-08-04T16:59:53.153Z","Online Form Filling (NADRA / Driving License)","sale_5l9sdozmo","250","Completed successfully"
"log_2iv9yil1o","Omar","Night Manager / Biometrics Specialist","2026-08-04T16:05:51.153Z","CV Normal Creation","sale_7zc40m4qw","150","Completed successfully"
"log_eym3y4dbo","Saqib","Day Operator","2026-08-04T06:11:35.151Z","CV Normal Creation","sale_uubeat31r","150","Completed successfully"
"log_bf2yyo29m","Saqib","Day Operator","2026-08-03T17:16:47.152Z","Online Form Filling (NADRA / Driving License)","sale_2561vuqeu","250",""
"log_xc2381br5","Hamza","Day Operator","2026-08-03T04:24:28.153Z","CV Professional Creation","sale_obu19j5qc","500","Completed successfully"
"log_5vryto03l","Hamza","Day Operator","2026-08-02T13:42:36.153Z","Application Writing / Urdu Typing","sale_zr7rs49jr","150",""
"log_6r2ly5woh","Omar","Night Manager / Biometrics Specialist","2026-08-02T11:52:59.152Z","CV Professional Creation","sale_yr9879e2z","500","Completed successfully"
"log_e6p0egloa","Omar","Night Manager / Biometrics Specialist","2026-08-02T11:52:59.152Z","Biometrics Verification","sale_yr9879e2z","300","Completed successfully"
"log_8j66s6gtr","Azan","Night Typist","2026-08-02T03:26:54.151Z","Application Writing / Urdu Typing","sale_vxbk2fhhb","150",""
"log_b2omdyoj3","Omar","Night Manager / Biometrics Specialist","2026-08-01T18:18:38.152Z","Application Writing / Urdu Typing","sale_d2km9tvqt","150","Completed successfully"
"log_hcgog3u8t","Saqib","Day Operator","2026-08-01T12:43:53.153Z","Application Writing / Urdu Typing","sale_84brirjcd","150",""
"log_4j7c2dkx2","Hamza","Day Operator","2026-08-01T11:10:40.153Z","CV Normal Creation","sale_mv6fxzr0i","150",""
"log_dv960litg","Hamza","Day Operator","2026-08-01T11:10:40.153Z","Biometrics Verification","sale_mv6fxzr0i","300",""
"log_yovebxb9y","Hamza","Day Operator","2026-08-01T09:18:21.153Z","CV Professional Creation","sale_ejjzkmx2v","500",""
"log_6sfpscof6","Omar","Night Manager / Biometrics Specialist","2026-08-01T05:47:47.153Z","CV Professional Creation","sale_mwdu2kmrc","500",""
"log_9qasmu7fy","Saqib","Day Operator","2026-07-31T18:11:20.152Z","CV Normal Creation","sale_grmcq5quw","150",""
"log_n0tkairfh","Omar","Night Manager / Biometrics Specialist","2026-07-31T05:35:51.153Z","Online Form Filling (NADRA / Driving License)","sale_5p3qhs623","250","Completed successfully"
"log_d2zcw1kgn","Omar","Night Manager / Biometrics Specialist","2026-07-31T05:35:51.153Z","Application Writing / Urdu Typing","sale_5p3qhs623","150",""
"log_sjdei9nwr","Hamza","Day Operator","2026-07-30T18:55:06.153Z","CV Professional Creation","sale_1z8rdngee","500",""
"log_tle444p7j","Hamza","Day Operator","2026-07-30T17:10:17.152Z","Biometrics Verification","sale_80wvjl3fx","300",""
"log_9ka77l7p4","Hamza","Day Operator","2026-07-30T17:10:17.152Z","CV Normal Creation","sale_80wvjl3fx","150","Completed successfully"
"log_2yzyd4f8a","Hamza","Day Operator","2026-07-30T17:10:17.152Z","CV Professional Creation","sale_80wvjl3fx","500","Completed successfully"
"log_ilsaegfp9","Abdi","IT Manager","2026-07-30T13:44:30.152Z","Application Writing / Urdu Typing","sale_07yzq6k2i","150","Completed successfully"
"log_rhhphckld","Abdi","IT Manager","2026-07-30T13:44:30.152Z","CV Professional Creation","sale_07yzq6k2i","500",""
"log_5ifngef5z","Abdi","IT Manager","2026-07-30T13:44:30.152Z","CV Normal Creation","sale_07yzq6k2i","150","Completed successfully"
"log_vlgvp5xyb","Azan","Night Typist","2026-07-30T11:53:27.153Z","Biometrics Verification","sale_7f43sjd9o","300",""
"log_j3b3n8lxu","Azan","Night Typist","2026-07-30T06:47:40.153Z","Biometrics Verification","sale_9pwn8jo9j","300",""
"log_6eqgsy44m","Abdi","IT Manager","2026-07-30T04:17:41.153Z","CV Professional Creation","sale_9b1etvvby","500","Completed successfully"
"log_ep6fyudhx","Saqib","Day Operator","2026-07-29T17:40:44.153Z","Online Form Filling (NADRA / Driving License)","sale_5ljstqfoj","250",""
"log_zh82o8x9s","Azan","Night Typist","2026-07-29T13:24:19.151Z","CV Professional Creation","sale_etkmx7bwe","500",""
"log_ifmo9pnxp","Azan","Night Typist","2026-07-29T13:24:19.151Z","CV Normal Creation","sale_etkmx7bwe","150","Completed successfully"
"log_kb706jgtf","Ali","Night Assistant","2026-07-29T03:19:53.152Z","CV Normal Creation","sale_juexk4bw3","150","Completed successfully"
"log_8mllnf81c","Abdi","IT Manager","2026-07-28T12:24:25.152Z","Biometrics Verification","sale_kdzkd17sb","300",""
"log_ccldov52b","Ashar","Night Operator","2026-07-28T08:32:39.152Z","CV Professional Creation","sale_70chma7ok","500",""
"log_lbfn43ytg","Ashar","Night Operator","2026-07-28T08:32:39.152Z","Biometrics Verification","sale_70chma7ok","300","Completed successfully"
"log_4qm9o2ry8","Abdi","IT Manager","2026-07-27T17:13:57.153Z","Biometrics Verification","sale_7jzvfciip","300","Completed successfully"
"log_a3gi0bk5u","Ali","Night Assistant","2026-07-27T16:27:26.153Z","Application Writing / Urdu Typing","sale_orh0ymzjx","150",""
"log_x1ntkelh9","Hamza","Day Operator","2026-07-26T08:52:20.153Z","CV Professional Creation","sale_alaglzpsy","500","Completed successfully"
"log_q9evhr4k5","Abdi","IT Manager","2026-07-25T14:22:23.152Z","Biometrics Verification","sale_zv6wtmkzr","300","Completed successfully"
"log_viwa9ocvt","Abdi","IT Manager","2026-07-25T14:22:23.152Z","CV Professional Creation","sale_zv6wtmkzr","500","Completed successfully"
"log_qt4h2quw4","Ali","Night Assistant","2026-07-25T10:32:38.151Z","Online Form Filling (NADRA / Driving License)","sale_8yr4zffv5","250","Completed successfully"
"log_wq243cqx8","Azan","Night Typist","2026-07-24T14:18:08.153Z","CV Normal Creation","sale_qyye3yr0n","150","Completed successfully"
"log_tn0of6ie5","Saqib","Day Operator","2026-07-23T17:12:32.153Z","Biometrics Verification","sale_vfkd3selv","300",""
"log_txlzhkf3t","Azan","Night Typist","2026-07-23T09:40:35.153Z","Online Form Filling (NADRA / Driving License)","sale_clyheon0n","250",""
"log_pnckw1cnq","Hamza","Day Operator","2026-07-23T08:07:45.153Z","Application Writing / Urdu Typing","sale_3bi0klu2i","150",""
"log_3ordzas0z","Abdi","IT Manager","2026-07-23T06:06:01.152Z","Online Form Filling (NADRA / Driving License)","sale_kgwzh4prn","250",""
"log_fi4v2eosw","Abdi","IT Manager","2026-07-23T06:06:01.152Z","Online Form Filling (NADRA / Driving License)","sale_kgwzh4prn","250",""
"log_t5uvpvdpq","Omar","Night Manager / Biometrics Specialist","2026-07-22T10:08:04.152Z","Biometrics Verification","sale_ytap7ap92","300","Completed successfully"
"log_k8a3sizwq","Ashar","Night Operator","2026-07-22T07:46:41.152Z","Online Form Filling (NADRA / Driving License)","sale_w2ascsyjd","250","Completed successfully"
"log_x1lgqer1i","Azan","Night Typist","2026-07-22T03:33:32.151Z","Online Form Filling (NADRA / Driving License)","sale_z0y7iemx1","250",""
"log_pjixkbuiy","Saqib","Day Operator","2026-07-21T18:44:22.151Z","CV Normal Creation","sale_oqpa88xb9","150","Completed successfully"
"log_nl3wixizs","Ali","Night Assistant","2026-07-21T16:58:18.152Z","Biometrics Verification","sale_lu05txzp7","300","Completed successfully"
"log_8sv0w6ko3","Ashar","Night Operator","2026-07-21T16:21:00.153Z","CV Normal Creation","sale_09qxe05tr","150","Completed successfully"
"log_le3t5u7b4","Ali","Night Assistant","2026-07-20T16:32:51.153Z","Application Writing / Urdu Typing","sale_l1uc9v8ba","150","Completed successfully"
"log_oqou30sgd","Hamza","Day Operator","2026-07-20T13:57:24.152Z","Online Form Filling (NADRA / Driving License)","sale_mybdby633","250","Completed successfully"
"log_gaajlombb","Abdi","IT Manager","2026-07-19T13:24:49.152Z","Online Form Filling (NADRA / Driving License)","sale_ktxis0kun","250",""
"log_u5ydvsufc","Ali","Night Assistant","2026-07-18T10:19:02.153Z","Application Writing / Urdu Typing","sale_igq2uz6aw","150","Completed successfully"
"log_m1slkszkb","Azan","Night Typist","2026-07-18T09:46:38.153Z","CV Normal Creation","sale_s0ydthr22","150","Completed successfully"
"log_telrd4ovb","Hamza","Day Operator","2026-07-18T04:27:36.151Z","Application Writing / Urdu Typing","sale_v79vqsz11","150",""
"log_7pd5eo5c7","Hamza","Day Operator","2026-07-18T04:27:36.151Z","Online Form Filling (NADRA / Driving License)","sale_v79vqsz11","250","Completed successfully"
"log_aycywi7su","Ali","Night Assistant","2026-07-17T12:55:29.153Z","Biometrics Verification","sale_ub3z8nmnu","300","Completed successfully"
"log_36rgr0pyq","Ali","Night Assistant","2026-07-17T12:55:29.153Z","Biometrics Verification","sale_ub3z8nmnu","300","Completed successfully"
"log_8lb08p1cu","Ali","Night Assistant","2026-07-17T12:28:30.152Z","Biometrics Verification","sale_8s8zstktt","300",""
"log_dljgv6sof","Omar","Night Manager / Biometrics Specialist","2026-07-17T11:45:29.152Z","Biometrics Verification","sale_vcz3cw047","300","Completed successfully"
"log_1nhz9g3lz","Omar","Night Manager / Biometrics Specialist","2026-07-17T11:45:29.152Z","CV Professional Creation","sale_vcz3cw047","500",""
"log_qkhlo1rpb","Omar","Night Manager / Biometrics Specialist","2026-07-17T11:45:29.152Z","CV Professional Creation","sale_vcz3cw047","500",""
"log_zsvxsdthu","Ashar","Night Operator","2026-07-16T17:44:51.152Z","CV Normal Creation","sale_pntjdy0ye","150","Completed successfully"
"log_dheuobc05","Azan","Night Typist","2026-07-16T14:01:11.153Z","Online Form Filling (NADRA / Driving License)","sale_tboub76i4","250","Completed successfully"
"log_cyegklhhh","Saqib","Day Operator","2026-07-16T09:07:16.153Z","Biometrics Verification","sale_c1699trb9","300","Completed successfully"
"log_fe5jo22s0","Hamza","Day Operator","2026-07-16T03:30:16.152Z","Application Writing / Urdu Typing","sale_zennxzd82","150","Completed successfully"
"log_ju3ml980c","Abdi","IT Manager","2026-07-14T12:24:30.152Z","Online Form Filling (NADRA / Driving License)","sale_575nv3mbd","250","Completed successfully"
"log_k4syyar1f","Ashar","Night Operator","2026-07-14T05:56:08.151Z","Biometrics Verification","sale_20ad0khkc","300",""
"log_v6dsfcixx","Saqib","Day Operator","2026-07-14T04:34:40.153Z","CV Professional Creation","sale_t47l3c2fr","500","Completed successfully"
"log_iakkh5xcs","Azan","Night Typist","2026-07-13T13:05:30.152Z","CV Professional Creation","sale_tbuysjgng","500",""
"log_odoltr6r2","Saqib","Day Operator","2026-07-13T04:37:01.151Z","Online Form Filling (NADRA / Driving License)","sale_tnu7t17ft","250","Completed successfully"
"log_abbeuvs9q","Ali","Night Assistant","2026-07-12T18:12:39.151Z","Application Writing / Urdu Typing","sale_yg1jhjew8","150",""
"log_h41ci88ww","Omar","Night Manager / Biometrics Specialist","2026-07-12T18:11:08.153Z","CV Normal Creation","sale_5gm12h6ua","150","Completed successfully"
"log_h4qxvxdcg","Omar","Night Manager / Biometrics Specialist","2026-07-12T18:11:08.153Z","Biometrics Verification","sale_5gm12h6ua","300",""
"log_vsiszon50","Abdi","IT Manager","2026-07-12T18:10:12.151Z","CV Normal Creation","sale_7m6setz5a","150",""
"log_43sdk3wui","Abdi","IT Manager","2026-07-12T18:10:12.151Z","CV Normal Creation","sale_7m6setz5a","150","Completed successfully"
"log_tyq4bdidb","Saqib","Day Operator","2026-07-12T12:55:34.153Z","Online Form Filling (NADRA / Driving License)","sale_d4ckl7vui","250",""
"log_y4x3n7hfs","Saqib","Day Operator","2026-07-12T12:55:34.153Z","Biometrics Verification","sale_d4ckl7vui","300",""
"log_vf9n5it74","Ashar","Night Operator","2026-07-12T03:53:05.153Z","Online Form Filling (NADRA / Driving License)","sale_o9su6mhlz","250",""
"log_oq5pdg9fp","Ashar","Night Operator","2026-07-12T03:53:05.153Z","Biometrics Verification","sale_o9su6mhlz","300",""
"log_6ky9oucn7","Ashar","Night Operator","2026-07-12T03:53:05.153Z","Online Form Filling (NADRA / Driving License)","sale_o9su6mhlz","250","Completed successfully"
