id,invoiceNumber,shopCode,customerId,customerName,items,subtotalPKR,discountPKR,taxPKR,grandTotalPKR,paymentStatus,paymentMethod,cashierName,timestamp,date,createdAt
"sale_cwjj1lvwk","INV-MAIN-01027","MAIN","null","Walk-in Customer","[{""itemId"":""inv_phven6on5"",""sku"":""ELE-POWERBANK"",""name"":""Power Bank (10000mAh)"",""quantity"":1,""unitCostPKR"":3000,""unitRetailPKR"":4900,""discountPKR"":0,""totalPKR"":4900},{""itemId"":""inv_x2dv8m15e"",""sku"":""PER-TISSUE"",""name"":""Tissue Box (150s)"",""quantity"":4,""unitCostPKR"":160,""unitRetailPKR"":220,""discountPKR"":0,""totalPKR"":880},{""itemId"":""inv_phven6on5"",""sku"":""ELE-POWERBANK"",""name"":""Power Bank (10000mAh)"",""quantity"":3,""unitCostPKR"":3000,""unitRetailPKR"":4900,""discountPKR"":0,""totalPKR"":14700},{""itemId"":""inv_o73bcwctf"",""sku"":""ELE-EARBUDS"",""name"":""Wireless Earbuds"",""quantity"":2,""unitCostPKR"":1500,""unitRetailPKR"":2700,""discountPKR"":0,""totalPKR"":5400},{""itemId"":""inv_98y3cs1s5"",""sku"":""BEV-COLA-1.5L"",""name"":""Cola Soft Drink (1.5L)"",""quantity"":3,""unitCostPKR"":150,""unitRetailPKR"":200,""discountPKR"":0,""totalPKR"":600}]","26480","0","0","26480","paid","cash","Zainab","2026-08-11T03:33:36.265Z","2026-08-11T03:33:36.265Z","2026-08-11T03:33:36.265Z"
"sale_slwmb0j76","INV-BR-03-01241","BR-03","cust_sajuoxown","Nida Malik","[{""itemId"":""inv_xyvolkp9x"",""sku"":""PER-TISSUE"",""name"":""Tissue Box (150s)"",""quantity"":2,""unitCostPKR"":160,""unitRetailPKR"":220,""discountPKR"":0,""totalPKR"":440},{""itemId"":""inv_cldubxem5"",""sku"":""GRO-SUGAR-1KG"",""name"":""Sugar (1kg)"",""quantity"":4,""unitCostPKR"":140,""unitRetailPKR"":175,""discountPKR"":0,""totalPKR"":700}]","1140","0","0","1140","paid","easypaisa","Ali","2026-08-10T15:13:56.272Z","2026-08-10T15:13:56.272Z","2026-08-10T15:13:56.272Z"
"sale_7sybs5q0a","INV-MAIN-01159","MAIN","cust_xx2zneuv4","Imran Sheikh","[{""itemId"":""inv_oeinh5eom"",""sku"":""BEV-JUICE-1L"",""name"":""Mango Juice (1L)"",""quantity"":2,""unitCostPKR"":200,""unitRetailPKR"":270,""discountPKR"":0,""totalPKR"":540},{""itemId"":""inv_wo440uxey"",""sku"":""BEV-WATER-1.5L"",""name"":""Mineral Water (1.5L)"",""quantity"":3,""unitCostPKR"":80,""unitRetailPKR"":110,""discountPKR"":0,""totalPKR"":330},{""itemId"":""inv_2b57qcgut"",""sku"":""GRO-BISCUIT-FAM"",""name"":""Biscuits (Family Pack)"",""quantity"":4,""unitCostPKR"":100,""unitRetailPKR"":135,""discountPKR"":0,""totalPKR"":540},{""itemId"":""inv_b11ytz7mb"",""sku"":""ELE-CHARGER"",""name"":""Wall Charger (18W)"",""quantity"":3,""unitCostPKR"":600,""unitRetailPKR"":1100,""discountPKR"":0,""totalPKR"":3300},{""itemId"":""inv_ftsml9z9w"",""sku"":""PER-SOAP"",""name"":""Hand Soap (100g)"",""quantity"":4,""unitCostPKR"":80,""unitRetailPKR"":120,""discountPKR"":0,""totalPKR"":480},{""itemId"":""inv_4rwrs9v5t"",""sku"":""BEV-CHOC-BAR"",""name"":""Chocolate Bar (50g)"",""quantity"":4,""unitCostPKR"":90,""unitRetailPKR"":130,""discountPKR"":0,""totalPKR"":520}]","5710","136","0","5574","unpaid","credit","Kamran","2026-08-10T14:58:13.270Z","2026-08-10T14:58:13.270Z","2026-08-10T14:58:13.270Z"
"sale_0t7bxqtgl","INV-BR-02-01077","BR-02","cust_hys5ykvi5","Mehwish Baig","[{""itemId"":""inv_hwjzj4fwg"",""sku"":""BEV-ENERGY-250ML"",""name"":""Energy Drink (250ml)"",""quantity"":4,""unitCostPKR"":200,""unitRetailPKR"":280,""discountPKR"":0,""totalPKR"":1120},{""itemId"":""inv_bz0obejcg"",""sku"":""GRO-RICE-5KG"",""name"":""Rice (5kg)"",""quantity"":4,""unitCostPKR"":1200,""unitRetailPKR"":1600,""discountPKR"":0,""totalPKR"":6400},{""itemId"":""inv_npzohf5lk"",""sku"":""BEV-CHOC-BAR"",""name"":""Chocolate Bar (50g)"",""quantity"":1,""unitCostPKR"":90,""unitRetailPKR"":130,""discountPKR"":0,""totalPKR"":130},{""itemId"":""inv_hwjzj4fwg"",""sku"":""BEV-ENERGY-250ML"",""name"":""Energy Drink (250ml)"",""quantity"":2,""unitCostPKR"":200,""unitRetailPKR"":280,""discountPKR"":0,""totalPKR"":560}]","8210","0","0","8210","paid","cash","Ayesha","2026-08-10T12:06:44.266Z","2026-08-10T12:06:44.266Z","2026-08-10T12:06:44.266Z"
"sale_7m9tiesi0","INV-BR-02-01264","BR-02","null","Walk-in Customer","[{""itemId"":""inv_hwjzj4fwg"",""sku"":""BEV-ENERGY-250ML"",""name"":""Energy Drink (250ml)"",""quantity"":2,""unitCostPKR"":200,""unitRetailPKR"":280,""discountPKR"":0,""totalPKR"":560},{""itemId"":""inv_gklu1cwos"",""sku"":""GRO-SUGAR-1KG"",""name"":""Sugar (1kg)"",""quantity"":1,""unitCostPKR"":140,""unitRetailPKR"":175,""discountPKR"":0,""totalPKR"":175},{""itemId"":""inv_15eiykl1l"",""sku"":""ELE-EARBUDS"",""name"":""Wireless Earbuds"",""quantity"":2,""unitCostPKR"":1500,""unitRetailPKR"":2700,""discountPKR"":0,""totalPKR"":5400},{""itemId"":""inv_bz0obejcg"",""sku"":""GRO-RICE-5KG"",""name"":""Rice (5kg)"",""quantity"":2,""unitCostPKR"":1200,""unitRetailPKR"":1600,""discountPKR"":0,""totalPKR"":3200}]","9335","0","0","9335","paid","cash","Usman","2026-08-10T11:57:45.273Z","2026-08-10T11:57:45.273Z","2026-08-10T11:57:45.273Z"
"sale_2v15l4oai","INV-BR-02-01160","BR-02","null","Walk-in Customer","[{""itemId"":""inv_6jg7oltpb"",""sku"":""PER-TISSUE"",""name"":""Tissue Box (150s)"",""quantity"":1,""unitCostPKR"":160,""unitRetailPKR"":220,""discountPKR"":0,""totalPKR"":220},{""itemId"":""inv_15eiykl1l"",""sku"":""ELE-EARBUDS"",""name"":""Wireless Earbuds"",""quantity"":4,""unitCostPKR"":1500,""unitRetailPKR"":2700,""discountPKR"":0,""totalPKR"":10800},{""itemId"":""inv_15eiykl1l"",""sku"":""ELE-EARBUDS"",""name"":""Wireless Earbuds"",""quantity"":1,""unitCostPKR"":1500,""unitRetailPKR"":2700,""discountPKR"":0,""totalPKR"":2700},{""itemId"":""inv_uw7gsp6ke"",""sku"":""BEV-CHIPS-L"",""name"":""Potato Chips (Large)"",""quantity"":2,""unitCostPKR"":80,""unitRetailPKR"":115,""discountPKR"":0,""totalPKR"":230}]","13950","0","0","13950","partial","easypaisa","Ali","2026-08-10T10:23:39.270Z","2026-08-10T10:23:39.270Z","2026-08-10T10:23:39.270Z"
"sale_6d1hsv659","INV-MAIN-01213","MAIN","cust_rl7u63xrl","Kamran Siddiqui","[{""itemId"":""inv_x2dv8m15e"",""sku"":""PER-TISSUE"",""name"":""Tissue Box (150s)"",""quantity"":3,""unitCostPKR"":160,""unitRetailPKR"":220,""discountPKR"":0,""totalPKR"":660},{""itemId"":""inv_2b57qcgut"",""sku"":""GRO-BISCUIT-FAM"",""name"":""Biscuits (Family Pack)"",""quantity"":1,""unitCostPKR"":100,""unitRetailPKR"":135,""discountPKR"":0,""totalPKR"":135},{""itemId"":""inv_5t60tf453"",""sku"":""PER-TOOTHPASTE"",""name"":""Toothpaste (120g)"",""quantity"":1,""unitCostPKR"":180,""unitRetailPKR"":250,""discountPKR"":0,""totalPKR"":250}]","1045","0","0","1045","paid","card","Fatima","2026-08-09T13:47:49.272Z","2026-08-09T13:47:49.272Z","2026-08-09T13:47:49.272Z"
"sale_2kxmm3zee","INV-BR-02-01119","BR-02","null","Walk-in Customer","[{""itemId"":""inv_gklu1cwos"",""sku"":""GRO-SUGAR-1KG"",""name"":""Sugar (1kg)"",""quantity"":3,""unitCostPKR"":140,""unitRetailPKR"":175,""discountPKR"":0,""totalPKR"":525},{""itemId"":""inv_l0wqs1fno"",""sku"":""PER-DETERGENT-1KG"",""name"":""Laundry Detergent (1kg)"",""quantity"":2,""unitCostPKR"":400,""unitRetailPKR"":550,""discountPKR"":0,""totalPKR"":1100},{""itemId"":""inv_uw7gsp6ke"",""sku"":""BEV-CHIPS-L"",""name"":""Potato Chips (Large)"",""quantity"":3,""unitCostPKR"":80,""unitRetailPKR"":115,""discountPKR"":0,""totalPKR"":345},{""itemId"":""inv_sq4b2e9ff"",""sku"":""GRO-MILK-1L"",""name"":""Milk Pack (1L)"",""quantity"":1,""unitCostPKR"":250,""unitRetailPKR"":310,""discountPKR"":0,""totalPKR"":310},{""itemId"":""inv_uw7gsp6ke"",""sku"":""BEV-CHIPS-L"",""name"":""Potato Chips (Large)"",""quantity"":4,""unitCostPKR"":80,""unitRetailPKR"":115,""discountPKR"":0,""totalPKR"":460},{""itemId"":""inv_bz0obejcg"",""sku"":""GRO-RICE-5KG"",""name"":""Rice (5kg)"",""quantity"":4,""unitCostPKR"":1200,""unitRetailPKR"":1600,""discountPKR"":0,""totalPKR"":6400}]","9140","233","0","8907","paid","easypaisa","Kiran","2026-08-09T13:42:05.267Z","2026-08-09T13:42:05.267Z","2026-08-09T13:42:05.267Z"
"sale_am8c0zpfy","INV-BR-02-01251","BR-02","null","Walk-in Customer","[{""itemId"":""inv_gklu1cwos"",""sku"":""GRO-SUGAR-1KG"",""name"":""Sugar (1kg)"",""quantity"":4,""unitCostPKR"":140,""unitRetailPKR"":175,""discountPKR"":0,""totalPKR"":700},{""itemId"":""inv_gvrza2ijm"",""sku"":""PER-SHAMPOO-200ML"",""name"":""Shampoo (200ml)"",""quantity"":4,""unitCostPKR"":350,""unitRetailPKR"":480,""discountPKR"":0,""totalPKR"":1920},{""itemId"":""inv_qdga38wvk"",""sku"":""ELE-CABLE-C"",""name"":""Type-C Charging Cable"",""quantity"":4,""unitCostPKR"":300,""unitRetailPKR"":550,""discountPKR"":0,""totalPKR"":2200},{""itemId"":""inv_5ik6k21w1"",""sku"":""ELE-USB-32GB"",""name"":""USB Flash Drive 32GB"",""quantity"":2,""unitCostPKR"":800,""unitRetailPKR"":1300,""discountPKR"":0,""totalPKR"":2600},{""itemId"":""inv_5ik6k21w1"",""sku"":""ELE-USB-32GB"",""name"":""USB Flash Drive 32GB"",""quantity"":3,""unitCostPKR"":800,""unitRetailPKR"":1300,""discountPKR"":0,""totalPKR"":3900}]","11320","0","0","11320","paid","easypaisa","Fahad","2026-08-09T11:24:24.272Z","2026-08-09T11:24:24.272Z","2026-08-09T11:24:24.272Z"
"sale_dy1wn7rb4","INV-BR-03-01307","BR-03","null","Walk-in Customer","[{""itemId"":""inv_hikai5yf2"",""sku"":""BEV-COLA-1.5L"",""name"":""Cola Soft Drink (1.5L)"",""quantity"":4,""unitCostPKR"":150,""unitRetailPKR"":200,""discountPKR"":0,""totalPKR"":800},{""itemId"":""inv_4cnzvgf66"",""sku"":""GRO-RICE-5KG"",""name"":""Rice (5kg)"",""quantity"":3,""unitCostPKR"":1200,""unitRetailPKR"":1600,""discountPKR"":0,""totalPKR"":4800},{""itemId"":""inv_oddsgnftg"",""sku"":""BEV-WATER-1.5L"",""name"":""Mineral Water (1.5L)"",""quantity"":2,""unitCostPKR"":80,""unitRetailPKR"":110,""discountPKR"":0,""totalPKR"":220},{""itemId"":""inv_oddsgnftg"",""sku"":""BEV-WATER-1.5L"",""name"":""Mineral Water (1.5L)"",""quantity"":4,""unitCostPKR"":80,""unitRetailPKR"":110,""discountPKR"":0,""totalPKR"":440}]","6260","0","0","6260","paid","bank","Sana","2026-08-09T11:10:32.277Z","2026-08-09T11:10:32.277Z","2026-08-09T11:10:32.277Z"
"sale_eaiporz97","INV-MAIN-01298","MAIN","cust_qy0nyi5h5","Nida Ansari","[{""itemId"":""inv_b11ytz7mb"",""sku"":""ELE-CHARGER"",""name"":""Wall Charger (18W)"",""quantity"":1,""unitCostPKR"":600,""unitRetailPKR"":1100,""discountPKR"":0,""totalPKR"":1100},{""itemId"":""inv_phven6on5"",""sku"":""ELE-POWERBANK"",""name"":""Power Bank (10000mAh)"",""quantity"":1,""unitCostPKR"":3000,""unitRetailPKR"":4900,""discountPKR"":0,""totalPKR"":4900},{""itemId"":""inv_vm6nkodiv"",""sku"":""GRO-TEA-900G"",""name"":""Tea (900g)"",""quantity"":3,""unitCostPKR"":1300,""unitRetailPKR"":1700,""discountPKR"":0,""totalPKR"":5100},{""itemId"":""inv_s0ao57kh8"",""sku"":""ELE-CABLE-C"",""name"":""Type-C Charging Cable"",""quantity"":3,""unitCostPKR"":300,""unitRetailPKR"":550,""discountPKR"":0,""totalPKR"":1650},{""itemId"":""inv_egwj47t8n"",""sku"":""BEV-CHIPS-L"",""name"":""Potato Chips (Large)"",""quantity"":4,""unitCostPKR"":80,""unitRetailPKR"":115,""discountPKR"":0,""totalPKR"":460}]","13210","183","0","13027","paid","cash","Usman","2026-08-09T10:09:14.277Z","2026-08-09T10:09:14.277Z","2026-08-09T10:09:14.277Z"
"sale_rygvgq0f8","INV-BR-03-01277","BR-03","null","Walk-in Customer","[{""itemId"":""inv_c6z8kuvgi"",""sku"":""PER-SHAMPOO-200ML"",""name"":""Shampoo (200ml)"",""quantity"":4,""unitCostPKR"":350,""unitRetailPKR"":480,""discountPKR"":0,""totalPKR"":1920},{""itemId"":""inv_jh6nxgkwf"",""sku"":""GRO-LENTIL-1KG"",""name"":""Daal Chana (1kg)"",""quantity"":4,""unitCostPKR"":280,""unitRetailPKR"":360,""discountPKR"":0,""totalPKR"":1440},{""itemId"":""inv_cjilarfpj"",""sku"":""GRO-OIL-1L"",""name"":""Cooking Oil (1L)"",""quantity"":1,""unitCostPKR"":450,""unitRetailPKR"":580,""discountPKR"":0,""totalPKR"":580},{""itemId"":""inv_308ev2uws"",""sku"":""PER-TOOTHPASTE"",""name"":""Toothpaste (120g)"",""quantity"":1,""unitCostPKR"":180,""unitRetailPKR"":250,""discountPKR"":0,""totalPKR"":250},{""itemId"":""inv_hikai5yf2"",""sku"":""BEV-COLA-1.5L"",""name"":""Cola Soft Drink (1.5L)"",""quantity"":4,""unitCostPKR"":150,""unitRetailPKR"":200,""discountPKR"":0,""totalPKR"":800},{""itemId"":""inv_xlpeh6yb8"",""sku"":""ELE-CABLE-C"",""name"":""Type-C Charging Cable"",""quantity"":1,""unitCostPKR"":300,""unitRetailPKR"":550,""discountPKR"":0,""totalPKR"":550}]","5540","0","0","5540","paid","card","Fahad","2026-08-09T08:23:23.273Z","2026-08-09T08:23:23.273Z","2026-08-09T08:23:23.273Z"
"sale_66rt750rs","INV-BR-02-01321","BR-02","null","Walk-in Customer","[{""itemId"":""inv_hwjzj4fwg"",""sku"":""BEV-ENERGY-250ML"",""name"":""Energy Drink (250ml)"",""quantity"":4,""unitCostPKR"":200,""unitRetailPKR"":280,""discountPKR"":0,""totalPKR"":1120},{""itemId"":""inv_hwjzj4fwg"",""sku"":""BEV-ENERGY-250ML"",""name"":""Energy Drink (250ml)"",""quantity"":3,""unitCostPKR"":200,""unitRetailPKR"":280,""discountPKR"":0,""totalPKR"":840},{""itemId"":""inv_ybky8kivg"",""sku"":""ELE-POWERBANK"",""name"":""Power Bank (10000mAh)"",""quantity"":3,""unitCostPKR"":3000,""unitRetailPKR"":4900,""discountPKR"":0,""totalPKR"":14700},{""itemId"":""inv_bz0obejcg"",""sku"":""GRO-RICE-5KG"",""name"":""Rice (5kg)"",""quantity"":2,""unitCostPKR"":1200,""unitRetailPKR"":1600,""discountPKR"":0,""totalPKR"":3200},{""itemId"":""inv_z5gh463ko"",""sku"":""PER-FACEWASH"",""name"":""Face Wash (100ml)"",""quantity"":1,""unitCostPKR"":250,""unitRetailPKR"":360,""discountPKR"":0,""totalPKR"":360},{""itemId"":""inv_ddhuhe1as"",""sku"":""BEV-JUICE-1L"",""name"":""Mango Juice (1L)"",""quantity"":3,""unitCostPKR"":200,""unitRetailPKR"":270,""discountPKR"":0,""totalPKR"":810}]","21030","0","0","21030","unpaid","credit","Kamran","2026-08-09T07:04:59.277Z","2026-08-09T07:04:59.277Z","2026-08-09T07:04:59.277Z"
